folder,File path,Type,English name,Traditional Chinese name,key,url
,,,,,Adversaries/,https://suisoko.com/Adversaries/
Adversaries,D:\MyWorks\Practice\Translation\spirit_island\PS\Adversaries\Combined\Adversary_Habsburg_Mining_combined.webp,Adversaries,Habsburg Mining Expedition,哈布斯堡王朝(礦產調查隊),Adversaries/Adversary_Habsburg_Mining_combined.webp,https://suisoko.com/Adversaries/Adversary_Habsburg_Mining_combined.webp
Adversaries,D:\MyWorks\Practice\Translation\spirit_island\PS\Adversaries\Combined\England_with_Difficulty_combined.webp,Adversaries,THE KINGDOM OF ENGLAND,英格蘭王國,Adversaries/England_with_Difficulty_combined.webp,https://suisoko.com/Adversaries/England_with_Difficulty_combined.webp
Adversaries,D:\MyWorks\Practice\Translation\spirit_island\PS\Adversaries\Combined\FnFCards300pxiAdversaryScotland1png_combined.webp,Adversaries,THE KINGDOM OF SCOTLAND,蘇格蘭王國,Adversaries/FnFCards300pxiAdversaryScotland1png_combined.webp,https://suisoko.com/Adversaries/FnFCards300pxiAdversaryScotland1png_combined.webp
Adversaries,D:\MyWorks\Practice\Translation\spirit_island\PS\Adversaries\Combined\France_with_Difficulty_combined.webp,Adversaries,The Kingdom of France,法蘭西王國,Adversaries/France_with_Difficulty_combined.webp,https://suisoko.com/Adversaries/France_with_Difficulty_combined.webp
Adversaries,D:\MyWorks\Practice\Translation\spirit_island\PS\Adversaries\Combined\JECards300pxiAdversaryHabsburgMonarchy1png_combined.webp,Adversaries,The Habsburg Monarchy,哈布斯堡王朝(畜牧殖民地),Adversaries/JECards300pxiAdversaryHabsburgMonarchy1png_combined.webp,https://suisoko.com/Adversaries/JECards300pxiAdversaryHabsburgMonarchy1png_combined.webp
Adversaries,D:\MyWorks\Practice\Translation\spirit_island\PS\Adversaries\Combined\JECards300pxiAdversaryTsardomofRussia1png_combined.webp,Adversaries,THE TSARDOM OF RUSSIA,俄羅斯沙皇國,Adversaries/JECards300pxiAdversaryTsardomofRussia1png_combined.webp,https://suisoko.com/Adversaries/JECards300pxiAdversaryTsardomofRussia1png_combined.webp
Adversaries,D:\MyWorks\Practice\Translation\spirit_island\PS\Adversaries\Combined\Prussia_with_Difficulty_combined.webp,Adversaries,The Kingdom of Brandenburg-Prussia,布蘭登堡-普魯土王國,Adversaries/Prussia_with_Difficulty_combined.webp,https://suisoko.com/Adversaries/Prussia_with_Difficulty_combined.webp
Adversaries,D:\MyWorks\Practice\Translation\spirit_island\PS\Adversaries\Combined\Sweden_with_Difficulty_combined.webp,Adversaries,THE KINGDOM OF SWEDEN,瑞典王國,Adversaries/Sweden_with_Difficulty_combined.webp,https://suisoko.com/Adversaries/Sweden_with_Difficulty_combined.webp
,,,,,Blight_Cards/,https://suisoko.com/Blight_Cards/
Blight_Cards\Base,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\Base\Combined\BaseCards300pxiBaseBlight1png_combined.webp,Blight,DOWNWARD SPIRAL,惡性循還,Blight_Cards/Base/BaseCards300pxiBaseBlight1png_combined.webp,https://suisoko.com/Blight_Cards/Base/BaseCards300pxiBaseBlight1png_combined.webp
Blight_Cards\Base,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\Base\Combined\BaseCards300pxiBaseBlight2png_combined.webp,Blight,MEMORY FADES TO DUST,記憶消逝,Blight_Cards/Base/BaseCards300pxiBaseBlight2png_combined.webp,https://suisoko.com/Blight_Cards/Base/BaseCards300pxiBaseBlight2png_combined.webp
Blight_Cards\Base,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\Base\Combined\Blight_Erratum_combined.webp,Blight,HEALTHY ISLAND,健康的島,Blight_Cards/Base/Blight_Erratum_combined.webp,https://suisoko.com/Blight_Cards/Base/Blight_Erratum_combined.webp
Blight_Cards\BnC,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\BnC\Combined\BnCCards300pxiBnCBlight1png_combined.webp,Blight,BACK AGAINST THE WALL,身陷絕境,Blight_Cards/BnC/BnCCards300pxiBnCBlight1png_combined.webp,https://suisoko.com/Blight_Cards/BnC/BnCCards300pxiBnCBlight1png_combined.webp
Blight_Cards\BnC,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\BnC\Combined\BnCCards300pxiBnCBlight2png_combined.webp,Blight,PROMISING FARMLANDS,良田沃土,Blight_Cards/BnC/BnCCards300pxiBnCBlight2png_combined.webp,https://suisoko.com/Blight_Cards/BnC/BnCCards300pxiBnCBlight2png_combined.webp
Blight_Cards\BnC,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\BnC\Combined\BnCCards300pxiBnCBlight3png_combined.webp,Blight,DISINTEGRATING ECOSYSTEM,分崩離析的生態,Blight_Cards/BnC/BnCCards300pxiBnCBlight3png_combined.webp,https://suisoko.com/Blight_Cards/BnC/BnCCards300pxiBnCBlight3png_combined.webp
Blight_Cards\BnC,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\BnC\Combined\BnCCards300pxiBnCBlight4png_combined.webp,Blight,AID FROM LESSER SPIRITS,下級精靈的援手,Blight_Cards/BnC/BnCCards300pxiBnCBlight4png_combined.webp,https://suisoko.com/Blight_Cards/BnC/BnCCards300pxiBnCBlight4png_combined.webp
Blight_Cards\BnC,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\BnC\Combined\BnCCards300pxiBnCBlight5png_combined.webp,Blight,TIPPING POINT,臨界點,Blight_Cards/BnC/BnCCards300pxiBnCBlight5png_combined.webp,https://suisoko.com/Blight_Cards/BnC/BnCCards300pxiBnCBlight5png_combined.webp
Blight_Cards\BnC,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\BnC\Combined\BnCCards300pxiBnCBlight6png_combined.webp,Blight,EROSION OF WILL,侵蝕意志,Blight_Cards/BnC/BnCCards300pxiBnCBlight6png_combined.webp,https://suisoko.com/Blight_Cards/BnC/BnCCards300pxiBnCBlight6png_combined.webp
Blight_Cards\BnC,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\BnC\Combined\BnCCards300pxiBnCBlight7png_combined.webp,Blight,A PALL UPON THE LAND,陰霾籠罩,Blight_Cards/BnC/BnCCards300pxiBnCBlight7png_combined.webp,https://suisoko.com/Blight_Cards/BnC/BnCCards300pxiBnCBlight7png_combined.webp
Blight_Cards\JE,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\JE\Combined\JECards300pxiJEBlight1png_combined.webp,Blight,STRONG EARTH SHATTERS SLOWLY,堅實的大地不易粉碎,Blight_Cards/JE/JECards300pxiJEBlight1png_combined.webp,https://suisoko.com/Blight_Cards/JE/JECards300pxiJEBlight1png_combined.webp
Blight_Cards\JE,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\JE\Combined\JECards300pxiJEBlight2png_combined.webp,Blight,INVADERS FIND THE LAND TO THEIR LIKIN6,入侵者的第二個家,Blight_Cards/JE/JECards300pxiJEBlight2png_combined.webp,https://suisoko.com/Blight_Cards/JE/JECards300pxiJEBlight2png_combined.webp
Blight_Cards\JE,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\JE\Combined\JECards300pxiJEBlight3png_combined.webp,Blight,UNTENDED LAND CRUMBLES,無人照料的土地衰亡,Blight_Cards/JE/JECards300pxiJEBlight3png_combined.webp,https://suisoko.com/Blight_Cards/JE/JECards300pxiJEBlight3png_combined.webp
Blight_Cards\JE,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\JE\Combined\JECards300pxiJEBlight4png_combined.webp,Blight,POWER CORRODES THE SPIRIT,力量腐化了精靈,Blight_Cards/JE/JECards300pxiJEBlight4png_combined.webp,https://suisoko.com/Blight_Cards/JE/JECards300pxiJEBlight4png_combined.webp
Blight_Cards\JE,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\JE\Combined\JECards300pxiJEBlight5png_combined.webp,Blight,THRIVING COMMUNITIES,繁榮的社區,Blight_Cards/JE/JECards300pxiJEBlight5png_combined.webp,https://suisoko.com/Blight_Cards/JE/JECards300pxiJEBlight5png_combined.webp
Blight_Cards\JE,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\JE\Combined\JECards300pxiJEBlight6png_combined.webp,Blight,ALL THINGS WEAKEN,萬物凋零,Blight_Cards/JE/JECards300pxiJEBlight6png_combined.webp,https://suisoko.com/Blight_Cards/JE/JECards300pxiJEBlight6png_combined.webp
Blight_Cards\JE,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\JE\Combined\JECards300pxiJEBlight7png_combined.webp,Blight,UNNATURAL PROLIFERATION,異常增長,Blight_Cards/JE/JECards300pxiJEBlight7png_combined.webp,https://suisoko.com/Blight_Cards/JE/JECards300pxiJEBlight7png_combined.webp
Blight_Cards\NI,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\NI\Combined\NIBlight0png_combined.webp,Blight,THRIVING CROPS,欣欣向榮的農業,Blight_Cards/NI/NIBlight0png_combined.webp,https://suisoko.com/Blight_Cards/NI/NIBlight0png_combined.webp
Blight_Cards\NI,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\NI\Combined\NIBlight1png_combined.webp,Blight,THE BORDER OF LIFE AND DEATH,生死交界線,Blight_Cards/NI/NIBlight1png_combined.webp,https://suisoko.com/Blight_Cards/NI/NIBlight1png_combined.webp
Blight_Cards\NI,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\NI\Combined\NIBlight2png_combined.webp,Blight,SLOW DISSOLUTION OF WILL,逐漸澳散的意志,Blight_Cards/NI/NIBlight2png_combined.webp,https://suisoko.com/Blight_Cards/NI/NIBlight2png_combined.webp
Blight_Cards\NI,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\NI\Combined\NIBlight3png_combined.webp,Blight,SHATTERED FRAGMENTS OF POWER,破碎的力量結晶,Blight_Cards/NI/NIBlight3png_combined.webp,https://suisoko.com/Blight_Cards/NI/NIBlight3png_combined.webp
Blight_Cards\NI,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\NI\Combined\NIBlight4png_combined.webp,Blight,INTENSIFYING EXPLOITATION,日益激裂的壓榨,Blight_Cards/NI/NIBlight4png_combined.webp,https://suisoko.com/Blight_Cards/NI/NIBlight4png_combined.webp
Blight_Cards\NI,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\NI\Combined\NIBlight5png_combined.webp,Blight,BURN BRIGHTEST BEFORE THE END,最後的生命列焰,Blight_Cards/NI/NIBlight5png_combined.webp,https://suisoko.com/Blight_Cards/NI/NIBlight5png_combined.webp
Blight_Cards\NI,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\NI\Combined\NIBlight6png_combined.webp,Blight,BLIGHT CORRODES THE SPIRIT,衰敗的力量侵襲精靈,Blight_Cards/NI/NIBlight6png_combined.webp,https://suisoko.com/Blight_Cards/NI/NIBlight6png_combined.webp
Blight_Cards\NI,D:\MyWorks\Practice\Translation\spirit_island\PS\Blight_Cards\NI\Combined\NIBlight7png_combined.webp,Blight,ATTENUATED ESSENCE,衰弱的靈力,Blight_Cards/NI/NIBlight7png_combined.webp,https://suisoko.com/Blight_Cards/NI/NIBlight7png_combined.webp
,,,,,Events_Cards/,https://suisoko.com/Events_Cards/
Events_Cards\BnC,D:\MyWorks\Practice\Translation\spirit_island\PS\Events_Cards\BnC\Combined\BnCCards300pxiBnCEvent10png_combined.webp,Events,"PUTTING DOWN ROOTS, The center crumbles","建立家園, 内地崩潰",Events_Cards/BnC/BnCCards300pxiBnCEvent10png_combined.webp,https://suisoko.com/Events_Cards/BnC/BnCCards300pxiBnCEvent10png_combined.webp
Events_Cards\BnC,D:\MyWorks\Practice\Translation\spirit_island\PS\Events_Cards\BnC\Combined\BnCCards300pxiBnCEvent11png_combined.webp,Events,RISING INTEREST IN THE ISLAND,高漲的好奇心,Events_Cards/BnC/BnCCards300pxiBnCEvent11png_combined.webp,https://suisoko.com/Events_Cards/BnC/BnCCards300pxiBnCEvent11png_combined.webp
Events_Cards\BnC,D:\MyWorks\Practice\Translation\spirit_island\PS\Events_Cards\BnC\Combined\BnCCards300pxiBnCEvent12png_combined.webp,Events,"DISTANT EXPLORATION, Fearful mobs","探索遠方, 恐怖的暴民",Events_Cards/BnC/BnCCards300pxiBnCEvent12png_combined.webp,https://suisoko.com/Events_Cards/BnC/BnCCards300pxiBnCEvent12png_combined.webp
Events_Cards\BnC,D:\MyWorks\Practice\Translation\spirit_island\PS\Events_Cards\BnC\Combined\BnCCards300pxiBnCEvent13png_combined.webp,Events,"INVESTIGATION OF DANGERS, Destroy the unnatural","檢查危險, 打倒怪力亂神",Events_Cards/BnC/BnCCards300pxiBnCEvent13png_combined.webp,https://suisoko.com/Events_Cards/BnC/BnCCards300pxiBnCEvent13png_combined.webp
Events_Cards\BnC,D:\MyWorks\Practice\Translation\spirit_island\PS\Events_Cards\BnC\Combined\BnCCards300pxiBnCEvent14png_combined.webp,Events,"CULTURAL ASSIMILATION, Reprisal against the Dahan","文化同化, 報復達漢族",Events_Cards/BnC/BnCCards300pxiBnCEvent14png_combined.webp,https://suisoko.com/Events_Cards/BnC/BnCCards300pxiBnCEvent14png_combined.webp
Events_Cards\BnC,D:\MyWorks\Practice\Translation\spirit_island\PS\Events_Cards\BnC\Combined\BnCCards300pxiBnCEvent15png_combined.webp,Events,"STRANGE TALES ATTRACT EXPLORERS, Fortification","鄉野奇譚引來探險家, 築城",Events_Cards/BnC/BnCCards300pxiBnCEvent15png_combined.webp,https://suisoko.com/Events_Cards/BnC/BnCCards300pxiBnCEvent15png_combined.webp
Events_Cards\BnC,D:\MyWorks\Practice\Translation\spirit_island\PS\Events_Cards\BnC\Combined\BnCCards300pxiBnCEvent16png_combined.webp,Events,"INTERESTING DISCOVERIES, Increasing aggression","耐人尋味的發現, 增長的敵意",Events_Cards/BnC/BnCCards300pxiBnCEvent16png_combined.webp,https://suisoko.com/Events_Cards/BnC/BnCCards300pxiBnCEvent16png_combined.webp
Events_Cards\BnC,D:\MyWorks\Practice\Translation\spirit_island\PS\Events_Cards\BnC\Combined\BnCCards300pxiBnCEvent17png_combined.webp,Events,"WAVE OF RECONNAISSANCE, Urbanization","偵察大隊, 都市化",Events_Cards/BnC/BnCCards300pxiBnCEvent17png_combined.webp,https://suisoko.com/Events_Cards/BnC/BnCCards300pxiBnCEvent17png_combined.webp
