key,name,image_urls,name_zh_tw,name_zh_cn
command_beasts_1,Command Beasts 1,https://suisoko.com/Reminders/JE/JE_Reminder_(13)_combined.webp;https://suisoko.com/Reminders/JE/JE_Reminder_(12)_combined.webp,操控野獸 1,操控野兽 1
command_beasts_2,Command Beasts 2,https://suisoko.com/Reminders/JE/JE_Reminder_(11)_combined.webp;https://suisoko.com/Reminders/JE/JE_Reminder_(10)_combined.webp,操控野獸 2,操控野兽 2
adversary,Adversary,https://suisoko.com/Reminders/JE/JE_Reminder_(14)_combined.webp,敵對勢力,敌对势力
remnants_of_a_spirits_heart,Remnants Of A Spirits Heart,https://suisoko.com/Reminders/JE/JE_Reminder_(2)_combined.webp,精靈之心的碎片,精灵之心的碎片
bargains_of_power_and_protection,Bargains Of Power And Protection,https://suisoko.com/Reminders/JE/JE_Reminder_(4)_combined.webp,力與守護的協議,力与守护的协议
dahan_trade_with_the_invaders,Dahan Trade With The Invaders,https://suisoko.com/Reminders/JE/JE_Reminder_(6)_combined.webp,達漢人和入侵者交易,达汉人和入侵者交易
the_habsburg_monarchy,The Habsburg Monarchy,https://suisoko.com/Reminders/JE/JE_Reminder_(8)_combined.webp,哈布斯堡王朝,哈布斯堡王朝
dream_of_the_untouched_land,Dream Of The Untouched Land,https://suisoko.com/Reminders/JE/JE_Reminder_combined.webp,美麗新世界,美丽新世界
unearth_a_beast_of_wrathful_stone,Unearth A Beast Of Wrathful Stone,https://suisoko.com/Reminders/NI/NIReminder5png_combined.webp;https://suisoko.com/Reminders/NI/NIReminder4png_combined.webp,召喚嗔怒石獸,召唤嗔怒石兽
bargain_of_coursing_paths,Bargain Of Coursing Paths,https://suisoko.com/Reminders/NI/NIReminder6png_combined.webp,打通捷徑的協議,打通捷径的协议
