key,name,image_urls,name_zh_tw,name_zh_cn
blitz,Blitz,https://suisoko.com/Scenarios/BaseCards300pxiScenarioBlitz1png_combined.webp;https://suisoko.com/Scenarios/BaseCards300pxiScenarioBlitzpng_combined.webp,閃電戰,闪电战
GtIH,Guard the Isle's Heart,https://suisoko.com/Scenarios/BaseCards300pxiScenarioGuardtheIslesHeart1png_combined.webp;https://suisoko.com/Scenarios/BaseCards300pxiScenarioGuardtheIslesHeartpng_combined.webp,島嶼之心守衛戰,岛屿之心守卫战
RoT,Rituals of Terror,https://suisoko.com/Scenarios/BaseCards300pxiScenarioRitualsofTerror1png_combined.webp;https://suisoko.com/Scenarios/BaseCards300pxiScenarioRitualsofTerrorpng_combined.webp,恐怖祭儀,恐怖祭仪
DI,Dahan Insurrection,https://suisoko.com/Scenarios/BaseCards300pxiScenarioDahanInsurrection1png_combined.webp;https://suisoko.com/Scenarios/BaseCards300pxiScenarioDahanInsurrectionpng_combined.webp,達漢起義,达汉起义
SW,Second Wave,https://suisoko.com/Scenarios/BnCCards300pxiScenarioSecondWave1png_combined.webp;https://suisoko.com/Scenarios/BnCCards300pxiScenarioSecondWavepng_combined.webp,再次入侵,再次入侵
PLF,Powers Long Forgotten,https://suisoko.com/Scenarios/BnCCards300pxiScenarioPowersLongForgotten1png_combined.webp;https://suisoko.com/Scenarios/BnCCards300pxiScenarioPowersLongForgottenpng_combined.webp,失傳的力量,失传的力量
WtS,Ward the Shores,https://suisoko.com/Scenarios/Scenario_Ward_the_Shores_(1)_combined.webp;https://suisoko.com/Scenarios/Scenario_Ward_the_Shores_combined.webp,海岸結界,海岸结界
RotDF,Rituals of the Destroying Flame,https://suisoko.com/Scenarios/BnCCards300pxiScenarioRitualsoftheDestroyingFlame1png_combined.webp;https://suisoko.com/Scenarios/BnCCards300pxiScenarioRitualsoftheDestroyingFlamepng_combined.webp,烈火祭儀,烈火祭仪
EI,Elemental Invocation,https://suisoko.com/Scenarios/JECards300pxiScenarioElementalInvocation1png_combined.webp;https://suisoko.com/Scenarios/JECards300pxiScenarioElementalInvocationpng_combined.webp,元素召喚,元素召唤
DT,Despicable Theft,https://suisoko.com/Scenarios/JECards300pxiScenarioDespicableTheft1png_combined.webp;https://suisoko.com/Scenarios/JECards300pxiScenarioDespicableTheftpng_combined.webp,卑劣竊賊,卑劣窃贼
TGR,The Great River,https://suisoko.com/Scenarios/JECards300pxiScenarioTheGreatRiver1png_combined.webp;https://suisoko.com/Scenarios/JECards300pxiScenarioTheGreatRiverpng_combined.webp,大河,大河
ADoS,A Diversity of Spirits,https://suisoko.com/Scenarios/FnFCards300pxiScenarioADiversityofSpirits1png_combined.webp;https://suisoko.com/Scenarios/FnFCards300pxiScenarioADiversityofSpiritspng_combined.webp,精靈多樣性,精灵多样性
VT,Varied Terrains,https://suisoko.com/Scenarios/FnFCards300pxiScenarioVariedTerrains1png_combined.webp;https://suisoko.com/Scenarios/FnFCards300pxiScenarioVariedTerrainspng_combined.webp,百變地貌,百变地貌
DU,Destiny Unfolds,https://suisoko.com/Scenarios/Scenario_Destiny_Unfolds_(1)_combined.webp;https://suisoko.com/Scenarios/Scenario_Destiny_Unfolds_combined.webp,揭示天命,揭示天命
SoC,Surges of Colonization,https://suisoko.com/Scenarios/Scenario_Surges_of_Colonization_(Normal)_(1)_combined.webp;https://suisoko.com/Scenarios/Scenario_Surges_of_Colonization_(Normal)_combined.webp,殖民波濤(普通波濤),殖民波涛(普通波涛)
LSoC,Larger Surges,https://suisoko.com/Scenarios/Scenario_Surges_of_Colonization_(Larger)_(1)_combined.webp;https://suisoko.com/Scenarios/Scenario_Surges_of_Colonization_(Larger)_combined.webp,殖民波濤(巨大波濤),殖民波涛(巨大波涛)
